Lat,Lon,Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
45.6,-56.099998,2024-07,4e4b383c8-8013-02db-2a8b-385e243923ce,CAN,LITTLE JACK,2024-07-23T12:00:00Z,2024-07-31T18:00:00Z,FISHING,FISHING,316008298,,,2012-10-24T00:51:41Z,2024-12-17T08:44:49Z,19.02
49.8,-64.699997,2024-07,d4f1546f1-1e17-3988-5962-37a06957b12e,CAN,MEROU,2024-07-08T14:00:00Z,2024-07-17T02:00:00Z,TRAWLERS,FISHING,316003724,,,2021-03-30T14:08:21Z,2026-04-18T16:20:58Z,1.41
46.4,-56.099998,2024-07,7874ee66e-effc-1bdf-caca-2618991f1161,CAN,BACCALIEU MIST II,2024-07-02T07:00:00Z,2024-07-04T13:00:00Z,FISHING,FISHING,316004031,,,2015-04-16T12:16:52Z,2026-07-06T21:02:28Z,6.04
50.6,-58.0,2024-07,fd5ceb0dc-ceb6-d8f0-2237-3dac4a8e87fb,CAN,NEWFOUNDLAND STORM,2024-07-04T11:00:00Z,2024-07-06T13:00:00Z,TRAWLERS,FISHING,316006413,,,2013-06-08T01:55:46Z,2026-06-24T10:02:41Z,2.04
49.7,-62.700001,2024-07,da481e22c-c4e3-019b-8fe6-1966e1121db3,CAN,MARUE KARINE D,2024-07-02T14:00:00Z,2024-07-15T15:00:00Z,SET_GILLNETS,FISHING,316007926,,,2019-03-27T09:17:37Z,2024-09-11T05:29:06Z,4.3
47.5,-61.599998,2024-07,5a8c9fb53-352a-6f83-1996-333629e721d3,CAN,MARIKA JOEL,2024-07-01T08:00:00Z,2024-07-04T13:00:00Z,SET_GILLNETS,FISHING,316051717,,,2023-05-06T00:08:45Z,2026-04-21T23:33:05Z,2.14
50.0,-64.599998,2024-07,d0b5ced1e-e7ff-0ea0-d0ff-6143af98bf5e,CAN,JULIAN,2024-07-04T16:00:00Z,2024-07-09T16:00:00Z,SET_GILLNETS,FISHING,316006028,,,2019-03-27T13:29:53Z,2026-06-11T22:12:52Z,32.57
49.6,-64.900002,2024-07,d4f1546f1-1e17-3988-5962-37a06957b12e,CAN,MEROU,2024-07-08T14:00:00Z,2024-07-17T02:00:00Z,TRAWLERS,FISHING,316003724,,,2021-03-30T14:08:21Z,2026-04-18T16:20:58Z,1.14
46.7,-60.299999,2024-07,134f15464-4237-6fd1-60e1-9da607a4aecc,CAN,HIGH ROLLER,2024-07-01T08:00:00Z,2024-07-28T18:00:00Z,SET_GILLNETS,FISHING,316045587,,,2022-04-25T22:12:40Z,2026-07-06T15:09:11Z,18.89
45.6,-56.099998,2024-07,ee12844ae-ee18-90a0-4984-5097641ff37f,CAN,WIND DANCER 04,2024-07-04T06:00:00Z,2024-07-25T11:00:00Z,,FISHING,316024302,,,2022-05-06T16:29:15Z,2026-06-06T06:32:48Z,32.17
46.1,-59.799999,2024-07,cbf053470-02b9-87d0-9e59-ed60a90fac48,CAN,MEANT TO BE,2024-07-10T09:00:00Z,2024-07-15T16:00:00Z,SET_GILLNETS,FISHING,316008386,,,2024-07-05T14:41:58Z,2025-09-25T23:10:44Z,5.83
46.3,-56.799999,2024-07,dccc9497d-d1ac-4239-1b36-183bcdc7d8dc,CAN,HARRY & WAYNE III,2024-07-01T10:00:00Z,2024-07-16T15:00:00Z,SET_LONGLINES,FISHING,316007940,,,2014-04-06T22:28:44Z,2026-07-06T23:59:46Z,6.67
49.4,-63.900002,2024-07,85c338f89-9bd7-5dc6-0976-05bf1c80c9bc,CAN,MANIC V,2024-07-08T06:00:00Z,2024-07-28T16:00:00Z,TRAWLERS,FISHING,316012182,,11853,2018-04-25T00:28:56Z,2026-06-22T12:45:26Z,21.27
46.7,-60.299999,2024-07,c90dbab77-785c-7395-b3d6-b8a9766318e8,CAN,WIDE AWAKE III,2024-07-01T06:00:00Z,2024-07-09T11:00:00Z,SET_GILLNETS,FISHING,316042504,,,2021-03-25T17:20:44Z,2025-10-13T19:17:03Z,32.03
